Binance Pair,Currency,Market,Last Update
ENSUSDT,ENS,USDT,
MANABTC,MANA,BTC,
ATOMBTC,ATOM,BTC,
AVAXBTC,AVAX,BTC,
WBTCBTC,WBTC,BTC,
REQUSDT,REQ,USDT,
APEUSDT,APE,USDT,
FLUXUSDT,FLUX,USDT,
COTIUSDT,COTI,USDT,
VOXELUSDT,VOXEL,USDT,
RLCUSDT,RLC,USDT,
BICOUSDT,BICO,USDT,
API3USDT,API3,USDT,
BNTUSDT,BNT,USDT,
IMXUSDT,IMX,USDT,
FLOWUSDT,FLOW,USDT,
GTCUSDT,GTC,USDT,
THETAUSDT,THETA,USDT,
TFUELUSDT,TFUEL,USDT,
OCEANUSDT,OCEAN,USDT,
LAZIOUSDT,LAZIO,USDT,
SANTOSUSDT,SANTOS,USDT,
ALPINEUSDT,ALPINE,USDT,
PORTOUSDT,PORTO,USDT,
RENUSDT,REN,USDT,
CELRUSDT,CELR,USDT,
SKLUSDT,SKL,USDT,
VITEUSDT,VITE,USDT,
WAXPUSDT,WAXP,USDT,
LTOUSDT,LTO,USDT,
FETUSDT,FET,USDT,
BONDUSDT,BOND,USDT,
LOKAUSDT,LOKA,USDT,
ICPUSDT,ICP,USDT,
TUSDT,T,USDT,
OPUSDT,OP,USDT,
ROSEUSDT,ROSE,USDT,
CELOUSDT,CELO,USDT,
KDAUSDT,KDA,USDT,
KSMUSDT,KSM,USDT,
ACHUSDT,ACH,USDT,
DARUSDT,DAR,USDT,
RNDRUSDT,RNDR,USDT,
SYSUSDT,SYS,USDT,
RADUSDT,RAD,USDT,
ILVUSDT,ILV,USDT,
LDOUSDT,LDO,USDT,
RAREUSDT,RARE,USDT,
LSKUSDT,LSK,USDT,
DGBUSDT,DGB,USDT,
REEFUSDT,REEF,USDT,
ALICEUSDT,ALICE,USDT,
FORTHUSDT,FORTH,USDT,
ASTRUSDT,ASTR,USDT,
BTRSTUSDT,BTRST,USDT,
GALUSDT,GAL,USDT,
SANDUSDT,SAND,USDT,
BALUSDT,BAL,USDT,
GLMUSDT,GLM,USDT,
CLVUSDT,CLV,USDT,
TUSDUSDT,TUSD,USDT,
QNTUSDT,QNT,USDT,
STGUSDT,STG,USDT,
AXLUSDT,AXL,USDT,
KAVAUSDT,KAVA,USDT,
APTUSDT,APT,USDT,
MASKUSDT,MASK,USDT,
BOSONUSDT,BOSON,USDT,
PONDUSDT,POND,USDT,
MXCUSDT,MXC,USDT,
JAMUSDT,JAM,USDT,
TRACUSDT,TRAC,USDT,
PROMUSDT,PROM,USDT,
DIAUSDT,DIA,USDT,
ADAETH,ADA,ETH,
DOGEBTC,DOGE,BTC,
LOOMUSDT,LOOM,USDT,
STMXUSDT,STMX,USDT,
BTCUSD,BTC,USD,
ETHUSD,ETH,USD,
BCHUSD,BCH,USD,
LTCUSD,LTC,USD,
USDTUSD,USDT,USD,
BNBUSD,BNB,USD,
ADAUSD,ADA,USD,
BATUSD,BAT,USD,
ETCUSD,ETC,USD,
XLMUSD,XLM,USD,
ZRXUSD,ZRX,USD,
LINKUSD,LINK,USD,
RVNUSD,RVN,USD,
DASHUSD,DASH,USD,
ZECUSD,ZEC,USD,
ALGOUSD,ALGO,USD,
IOTAUSD,IOTA,USD,
WAVESUSD,WAVES,USD,
ATOMUSD,ATOM,USD,
NEOUSD,NEO,USD,
QTUMUSD,QTUM,USD,
ICXUSD,ICX,USD,
ENJUSD,ENJ,USD,
ONTUSD,ONT,USD,
ZILUSD,ZIL,USD,
VETUSD,VET,USD,
XTZUSD,XTZ,USD,
HBARUSD,HBAR,USD,
OMGUSD,OMG,USD,
MATICUSD,MATIC,USD,
EOSUSD,EOS,USD,
DOGEUSD,DOGE,USD,
KNCUSD,KNC,USD,
VTHOUSD,VTHO,USD,
USDCUSD,USDC,USD,
COMPUSD,COMP,USD,
MANAUSD,MANA,USD,
MKRUSD,MKR,USD,
DAIUSD,DAI,USD,
ONEUSD,ONE,USD,
BANDUSD,BAND,USD,
STORJUSD,STORJ,USD,
UNIUSD,UNI,USD,
SOLUSD,SOL,USD,
EGLDUSD,EGLD,USD,
PAXGUSD,PAXG,USD,
OXTUSD,OXT,USD,
ZENUSD,ZEN,USD,
FILUSD,FIL,USD,
AAVEUSD,AAVE,USD,
GRTUSD,GRT,USD,
SUSHIUSD,SUSHI,USD,
ANKRUSD,ANKR,USD,
CRVUSD,CRV,USD,
AXSUSD,AXS,USD,
AVAXUSD,AVAX,USD,
CTSIUSD,CTSI,USD,
DOTUSD,DOT,USD,
YFIUSD,YFI,USD,
1INCHUSD,1INCH,USD,
FTMUSD,FTM,USD,
NEARUSD,NEAR,USD,
LRCUSD,LRC,USD,
LPTUSD,LPT,USD,
NMRUSD,NMR,USD,
SLPUSD,SLP,USD,
ANTUSD,ANT,USD,
XNOUSD,XNO,USD,
CHZUSD,CHZ,USD,
OGNUSD,OGN,USD,
GALAUSD,GALA,USD,
TLMUSD,TLM,USD,
SNXUSD,SNX,USD,
AUDIOUSD,AUDIO,USD,
REQUSD,REQ,USD,
APEUSD,APE,USD,
FLUXUSD,FLUX,USD,
COTIUSD,COTI,USD,
VOXELUSD,VOXEL,USD,
RLCUSD,RLC,USD,
BICOUSD,BICO,USD,
API3USD,API3,USD,
ENSUSD,ENS,USD,
BNTUSD,BNT,USD,
IMXUSD,IMX,USD,
FLOWUSD,FLOW,USD,
GTCUSD,GTC,USD,
THETAUSD,THETA,USD,
TFUELUSD,TFUEL,USD,
OCEANUSD,OCEAN,USD,
LAZIOUSD,LAZIO,USD,
SANTOSUSD,SANTOS,USD,
ALPINEUSD,ALPINE,USD,
PORTOUSD,PORTO,USD,
RENUSD,REN,USD,
CELRUSD,CELR,USD,
SKLUSD,SKL,USD,
VITEUSD,VITE,USD,
WAXPUSD,WAXP,USD,
LTOUSD,LTO,USD,
FETUSD,FET,USD,
BONDUSD,BOND,USD,
LOKAUSD,LOKA,USD,
ICPUSD,ICP,USD,
TUSD,T,USD,
OPUSD,OP,USD,
ROSEUSD,ROSE,USD,
CELOUSD,CELO,USD,
KDAUSD,KDA,USD,
KSMUSD,KSM,USD,
ACHUSD,ACH,USD,
DARUSD,DAR,USD,
RNDRUSD,RNDR,USD,
SYSUSD,SYS,USD,
RADUSD,RAD,USD,
ILVUSD,ILV,USD,
LDOUSD,LDO,USD,
RAREUSD,RARE,USD,
LSKUSD,LSK,USD,
DGBUSD,DGB,USD,
REEFUSD,REEF,USD,
ALICEUSD,ALICE,USD,
FORTHUSD,FORTH,USD,
ASTRUSD,ASTR,USD,
BTRSTUSD,BTRST,USD,
GALUSD,GAL,USD,
SANDUSD,SAND,USD,
BALUSD,BAL,USD,
POLYXUSD,POLYX,USD,
GLMUSD,GLM,USD,
CLVUSD,CLV,USD,
TUSDUSD,TUSD,USD,
QNTUSD,QNT,USD,
STGUSD,STG,USD,
AXLUSD,AXL,USD,
KAVAUSD,KAVA,USD,
APTUSD,APT,USD,
MASKUSD,MASK,USD,
BOSONUSD,BOSON,USD,
PONDUSD,POND,USD,
MXCUSD,MXC,USD,
JAMUSD,JAM,USD,
PROMUSD,PROM,USD,
DIAUSD,DIA,USD,
LOOMUSD,LOOM,USD,
STMXUSD,STMX,USD,
SHIBUSD,SHIB,USD,
TRACUSD,TRAC,USD,
POLYXUSDT,POLYX,USDT,
IOSTUSDT,IOST,USDT,
IOSTUSD,IOST,USD,
MATICETH,MATIC,ETH,
SOLETH,SOL,ETH,
FLOKIUSDT,FLOKI,USDT,
FLOKIUSD,FLOKI,USD,
ARBUSDT,ARB,USDT,
ARBUSD,ARB,USD,
